IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Close,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Profit Margin,Tax / Revenue,Equity,Working Capital,Rating
2022-12-30,ATMC,AlphaTime Acquisition Corp,10.00,11.01,10.10%,75676420,6000000,60000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,8170,11.01,,,,,,,,,,,,,,-2224219,175366,
2022-12-29,COYA,"Coya Therapeutics, Inc.",5.00,8.43,68.60%,122593941,3050000,15250000,4.75,77.47%,NASDAQ,Healthcare,Biotechnology,United States,8,2020,80997,8.41,,,,6002206,,,6002206,,-7987836,,-7236623,-133.08%,12.06%,35635609,36144345,Strong Buy
2022-12-22,HSPO,Horizon Space Acquisition I Corp.,10.00,10.93,9.30%,94522323,6000000,60000000,,,NASDAQ,Financials,Shell Companies,United States,,2014,124,10.94,,,,,,,,,,,,,,-1862071,552929,
2022-12-20,ATMV,AlphaVest Acquisition Corp,10.00,11.00,10.10%,77069619,6000000,60000000,,,NASDAQ,Financials,Shell Companies,United States,2,2022,5200,11.00,,,,,,,,,,,,,,358221,325841,
2022-12-20,LIPO,Lipella Pharmaceuticals Inc.,5.75,0.71,-87.68%,4428149,1217391,6999998,7.02,-89.91%,NASDAQ,Healthcare,Biotechnology,United States,5,2005,4936,0.71,,,,449617,144.15%,-19.98%,449617,144.15%,-4618965,,-4606432,-1027.31%,,3144448,3043925,Strong Buy
2022-12-14,RAYA,Erayak Power Solution Group Inc.,4.00,0.65,-83.67%,7836000,3000000,12000000,3.70,-82.35%,NASDAQ,Industrials,Electrical Equipment & Parts,China,290,2019,38352,0.65,,,,20322498,9.09%,,5022649,-12.18%,1218714,-64.10%,2717324,6.00%,0.95%,20202087,8886603,
2022-12-09,JEWL,Adamas One Corp.,4.50,0.31,-93.20%,8566153,7165904,32246568,8.60,-96.44%,NASDAQ,Consumer Discretionary,Luxury Goods,United States,12,2018,66357,0.31,,,,1818042,65.04%,-52.85%,1179500,59.60%,-22578657,,-18528087,-1241.92%,,3811642,-6035295,
2022-11-15,ACRV,"Acrivon Therapeutics, Inc.",12.50,8.47,-32.24%,261485417,7550000,94375000,13.35,-36.55%,NASDAQ,Healthcare,Biotechnology,United States,58,2018,695105,9.50,,,,,,,,,-60388000,,-59074000,,,121195000,116389000,Strong Buy
2022-11-11,ATAT,Atour Lifestyle Holdings Limited,11.00,18.41,67.36%,2413906681,4750000,52250000,15.50,18.77%,NASDAQ,Consumer Discretionary,Lodging,China,3255,2013,2252661,18.43,,,,658105360,106.19%,140.38%,263824435,166.31%,103968547,651.42%,,15.80%,5.10%,285396409,257197328,Strong Buy
2022-11-10,ASPI,ASP Isotopes Inc.,4.00,3.38,-15.50%,165360670,1300000,5200000,3.22,4.97%,NASDAQ,Materials,Chemicals,United States,76,2021,435127,3.34,,,,433026,,,138970,,-16286234,,-16136387,-3761.03%,-1.42%,16295954,4836291,Strong Buy
2022-11-10,PLTN,Plutonian Acquisition Corp.,10.00,10.80,8.00%,54008316,5000000,50000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,1034,10.82,,,,,,,,,427843,,,,,1304508,57326,
2022-11-10,SNAL,"Snail, Inc.",5.00,1.09,-78.17%,40115592,3000000,15000000,2.20,-50.39%,NASDAQ,Communication Services,Electronic Gaming & Multimedia,United States,97,2000,3791,1.08,,,,60902098,-18.19%,86.59%,12595695,-40.93%,-9086075,,-6606121,-14.92%,-3.94%,8299863,-14662071,
2022-10-26,MBLY,Mobileye Global Inc.,21.00,30.90,47.14%,24912551125,41000000,861000000,26.71,15.69%,NASDAQ,Consumer Discretionary,Auto Parts,Israel,3700,1999,5415316,31.12,,,,2079000000,11.24%,12.74%,1047000000,13.56%,-27000000,,529000000,-1.30%,2.07%,14924000000,1663000000,Strong Buy
2022-10-20,PRME,"Prime Medicine, Inc.",17.00,4.30,-74.71%,515738775,10294118,175000006,18.97,-77.33%,NASDAQ,Healthcare,Biotechnology,United States,234,2019,848591,4.70,,,,,,,,,-198133000,,-180971000,,,133071000,86553000,Strong Buy
