IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Premkt. Price,Volume,Country,Employees,Sector,Industry,Founded,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Gross Profit,Rev. Growth (Q),GP Growth,EBITDA,Investing CF,Financing CF,Net CF,Working Capital,Equity,Rating
2023-12-27,IROH,Iron Horse Acquisitions Corp.,10.00,10.03,0.30%,88936010,6100000,61000000,,,NASDAQ,,9579,United States,,Financials,Shell Companies,2021,,,,,,,,,,,,,,,
2023-12-19,LGCB,Linkage Global Inc,4.00,3.29,-17.75%,70735000,1500000,6000000,3.98,-17.34%,NASDAQ,,6862,Japan,92,Consumer Discretionary,Internet Retail,2011,,,,12733339,,1860855,,,-350628,1826531,-398387,-2578911,4945552,3496913,
2023-12-15,ZKH,ZKH Group Limited,15.50,11.79,-23.94%,2634069504,4000000,62000000,15.50,-23.94%,NYSE,,19326,China,3476,Consumer Discretionary,Internet Retail,1998,,,,1203717634,86.10%,200468448,,113.51%,-29165516,-125366035,98785955,-104273726,403955998,443247805,Strong Buy
2023-12-15,BAYA,Bayview Acquisition Corp,10.00,10.18,1.80%,78716850,6000000,60000000,,,NASDAQ,,69762,NY,,Financials,Shell Companies,2023,,,,,,,,,,,,,,,
2023-12-14,INHD,Inno Holdings Inc.,4.00,0.63,-83.22%,13005090,2500000,10000000,10.50,-93.61%,NASDAQ,0.63,147379,United States,11,Materials,Steel,2019,,,,657363,,,-46.08%,,,,,,4080742,5363201,
2023-12-04,AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",10.00,10.27,2.70%,92697923,6000000,60000000,,,NASDAQ,,11985,NY,,Financials,Shell Companies,2023,,,,,,,,,,,,,,,
2023-12-01,GSIW,Garden Stage Limited,4.00,7.54,88.58%,115026175,2500000,10000000,4.45,69.51%,NASDAQ,,2681,Hong Kong,13,Financials,Capital Markets,2016,,,,3259296,,,,,,,,,1157773,1996680,
2023-11-30,FEBO,Fenbo Holdings Limited,5.00,11.73,134.60%,129030000,1000000,5000000,4.99,135.07%,NASDAQ,,27876,Hong Kong,284,Technology,Consumer Electronics,1993,,,,15289872,,2405453,,,2057329,-70749,642867,1299399,3828726,4603001,
2023-11-21,CLBR,Colombier Acquisition Corp.,10.00,10.36,3.60%,223387500,15000000,150000000,,,NYSE,,6948,United States,,Financials,Shell Companies,2023,,,,,,,,,,,,,,,
2023-11-21,ELAB,"Elevai Labs, Inc.",4.00,0.67,-83.15%,11680150,1500000,6000000,4.00,-83.15%,NASDAQ,0.63,301032,United States,18,Healthcare,Biotechnology,2020,,,,1712595,,1134580,61.67%,,-4270343,-11191,6738890,2171950,3622091,3827076,
2023-11-17,RR,Richtech Robotics Inc.,5.00,1.24,-75.20%,82140456,2000000,10000000,5.00,-75.20%,NASDAQ,,118385,United States,51,Industrials,Specialty Industrial Machinery,2016,,,,8919000,39.75%,6125000,16.91%,50.09%,-772000,-17000,9878000,6977000,10665000,11347000,
2023-11-17,DDC,DDC Enterprise Limited,8.50,1.08,-87.29%,24242005,3900000,33150000,8.50,-87.29%,NYSEAMERICAN,,26224,Hong Kong,104,Consumer Staples,Packaged Foods,2012,,,,27913531,,,25.89%,,,,,,-18751515,-31054086,Strong Buy
2023-11-14,SHIM,Shimmick Corporation,7.00,4.08,-41.71%,104347224,3575000,25025000,7.00,-41.71%,NASDAQ,4.15,964175,United States,1300,Industrials,Engineering & Construction,1990,,,,632806000,,22372000,-25.12%,,14575000,22050000,47875000,-18175000,-13795000,71237000,Strong Buy
2023-11-14,GLAC,Global Lights Acquisition Corp,10.00,10.22,2.15%,91679625,6000000,60000000,,,NASDAQ,,116271,China,,Financials,Shell Companies,2021,,,,,,,,,,,,,,,
2023-11-14,SGN,Signing Day Sports Inc.,5.00,0.31,-93.76%,9538992,1200000,6000000,5.00,-93.76%,NYSEAMERICAN,,25340,AZ,14,Technology,Software - Application,2019,,,,307578,292.64%,267191,1128.88%,,-4437802,-3178179,8895671,869119,669501,1744131,
2023-11-10,HG,"Hamilton Insurance Group, Ltd.",15.00,14.05,-6.33%,1557887745,15000000,225000000,15.25,-7.87%,NYSE,,120883,Bermuda,500,Financials,Insurance - Reinsurance,2013,,,,1571045000,,856442000,118.19%,,267505000,-652088000,59016000,-306343000,,2047850000,Strong Buy
2023-11-10,CRGX,"CARGO Therapeutics, Inc.",15.00,18.28,21.87%,719557468,18750000,281250000,15.45,18.32%,NASDAQ,,274994,United States,116,Healthcare,Biotechnology,2021,,,,,,,,,-92851000,-8992000,494583000,404427000,388315000,405386000,Strong Buy
2023-11-09,ANSC,Agriculture & Natural Solutions Acquisition Corporation,10.00,10.22,2.15%,440521875,30000000,300000000,,,NASDAQ,,49500,United States,,Financials,Shell Companies,2021,,,,,,,,,,,,,,,
2023-11-09,AITR,AI TRANSPORTATION ACQUISITION CORP,10.00,10.30,3.00%,80728825,6000000,60000000,,,NASDAQ,,3606,United States,,Financials,Shell Companies,2022,,,,,,,,,,,,,,,
2023-11-08,GVH,Globavend Holdings Limited,4.00,1.10,-72.50%,16500000,1500000,6000000,4.29,-74.36%,NASDAQ,,52329,Australia,7,Industrials,Integrated Freight & Logistics,2016,,,,18586528,,1905587,,,1321543,-7455,-2017979,-3603,128745,502176,
2023-11-03,LXEO,"Lexeo Therapeutics, Inc.",11.00,12.16,10.55%,400642816,9000000,99000000,9.50,28.00%,NASDAQ,,48919,United States,58,Healthcare,Biotechnology,2017,,,,,,,,,-64346000,-165000,103791000,44130000,107055000,113535000,Strong Buy
2023-11-01,PAPL,Pineapple Financial Inc.,4.00,1.32,-67.00%,9480214,875000,3500000,3.50,-62.29%,NYSEAMERICAN,,179566,Canada,55,Financials,Mortgage Finance,2015,,,,2521796,-27.47%,2521796,59.04%,-27.47%,,,,,1229073,2948440,
2023-10-31,ATGL,Alpha Technology Group Limited,4.00,2.80,-30.00%,42735000,1750000,7000000,4.00,-30.00%,NASDAQ,,9235,Hong Kong,23,Technology,Software - Infrastructure,2017,,,,1109725,,363458,,,-732232,-1283236,877926,143426,693092,2474526,
2023-10-25,MNR,Mach Natural Resources LP,19.00,20.22,6.42%,1920900000,10000000,190000000,19.00,6.42%,NYSE,,47391,United States,444,Energy,Oil & Gas Exploration & Production,2017,0.95,4.70%,,762309000,,524414000,-22.97%,,217336000,-1027157000,658790000,123375000,68693000,,Strong Buy
2023-10-19,WBUY,WEBUY GLOBAL LTD.,4.00,0.32,-92.06%,16641634,3800000,15200000,7.75,-95.90%,NASDAQ,,212383,Singapore,218,Consumer Discretionary,Internet Retail,2019,,,,61686170,,5142507,,,-3518953,-4588659,15529005,3839384,3216798,5710387,
2023-10-19,NCL,Northann Corp.,5.00,0.47,-90.70%,9941700,3000000,15000000,5.00,-90.70%,NYSEAMERICAN,0.40,319534,United States,73,Consumer Discretionary,"Furnishings, Fixtures & Appliances",2013,,,,13971729,-33.33%,1214364,294.19%,-78.90%,-4797203,,5376489,850279,-6050351,582612,
2023-10-11,BIRK,Birkenstock Holding plc,46.00,44.84,-2.52%,8422099456,32258064,1483870944,41.00,9.37%,NYSE,,603359,UK,6300,Consumer Discretionary,Footwear & Accessories,1774,1.72,3.84%,9.21%,1660069737,,,21.91%,,,,,,668508869,2642990722,Buy
2023-10-10,PMEC,Primech Holdings Ltd.,4.00,0.69,-82.72%,24565050,3050000,12200000,4.00,-82.72%,NASDAQ,,452847,Singapore,3133,Industrials,Specialty Business Services,1984,,,,71489634,38.45%,12587525,,19.85%,,,,,2473643,8720254,
2023-10-10,LRHC,La Rosa Holding Corp.,5.00,1.71,-65.80%,24457617,1000000,5000000,5.25,-67.43%,NASDAQ,,31376,United States,42,Real Estate,Real Estate Services,2004,,,,31759404,21.20%,2841168,90.73%,12.52%,-7604921,-141744,2950060,913905,1173596,5909985,
2023-10-10,GMM,Global Mofy Metaverse Limited,5.00,0.88,-82.40%,23871017,1200000,6000000,5.00,-82.40%,NASDAQ,,145131,China,38,Technology,Information Technology Services,2017,,,,26889911,433.26%,14531977,,1209.67%,8399837,-7732107,11639459,9301516,12147270,20957485,
2023-10-09,GPAK,Gamer Pakistan Inc.,4.00,0.22,-94.50%,5627446,1700000,6800000,4.20,-94.76%,NASDAQ,,36830,United States,7,Industrials,Specialty Business Services,2021,,,,,,,,,,,,,-81103,-80630,
2023-10-06,SPKL,Spark I Acquisition Corp. Class A Ordinary Share,10.00,10.31,3.12%,169339758,10000000,100000000,,,NASDAQ,,150703,United States,,Financials,Shell Companies,2021,,,,,,,,,,,,,,,
2023-10-06,QETA,Quetta Acquisition Corporation,10.00,10.25,2.20%,91528219,6000000,60000000,,,NASDAQ,,4,NY,,Financials,Shell Companies,2023,,,,,,,,,,,,,,,
2023-10-05,MSS,Maison Solutions Inc.,4.00,1.10,-72.50%,21659549,3750000,15000000,4.00,-72.50%,NASDAQ,,41710,United States,175,Consumer Staples,Grocery Stores,2019,,,,55300855,6.09%,12468571,-13.04%,9.26%,786090,-5167286,12761141,6826382,8042117,13275774,
2023-09-29,ANL,Adlai Nortye Ltd.,23.00,13.46,-41.48%,210289295,2500000,57500000,18.00,-25.22%,NASDAQ,10.80,4531,Cayman Islands,127,Healthcare,Biotechnology,2004,,,,5000000,,5000000,,,-101215000,-10954000,116240000,48634000,50878000,79403000,Buy
2023-09-29,SYRA,Syra Health Corp.,4.13,1.02,-75.27%,6696874,1500000,6187500,3.50,-70.85%,NASDAQ,,109342,United States,78,Healthcare,Medical Care Facilities,2020,,,,5515144,-1.83%,1411900,-10.15%,32.97%,-2835886,-15251,6051050,3276731,3871038,4013211,
2023-09-28,VSME,VS Media Holdings Limited,5.00,0.44,-91.20%,9680000,2000000,10000000,6.00,-92.67%,NASDAQ,0.43,747545,Hong Kong,41,Communication Services,Advertising Agencies,2013,,,,9028187,,,,,,,,,-218179,-495188,
2023-09-27,LRE,"Lead Real Estate Co., Ltd",7.00,3.07,-56.13%,41895639,1143000,8001000,7.00,-56.13%,NASDAQ,,3451,Japan,62,Real Estate,Real Estate - Development,2001,,,,111536375,,,,,,,,,33253891,23888351,
2023-09-22,TURB,"Turbo Energy, S.A.",5.00,1.20,-76.00%,13220520,1000000,5000000,6.89,-82.58%,NASDAQ,,2437,United States,38,Technology,Solar,2013,,,,14107199,,1177901,,,-2787643,-2779147,2709475,126620,3538803,5643755,
2023-09-21,MDBH,"MDB Capital Holdings, LLC Class A common",12.00,9.00,-25.00%,83660661,1666666,19999992,16.00,-43.75%,NASDAQ,,677,United States,40,Financials,Capital Markets,1997,,,,5995027,,5995027,1149.16%,,-6561997,-8197891,17763991,2405063,,37312852,
2023-09-20,KVYO,"Klaviyo, Inc.",30.00,23.02,-23.27%,6580697267,19200000,576000000,36.75,-37.36%,NYSE,23.00,1075724,United States,1548,Technology,Software - Infrastructure,2012,,,,698099000,,520211000,69.19%,,-280393000,-9358000,242728000,352741000,672873000,914777000,Buy
2023-09-19,CART,Maplebear Inc.,30.00,34.54,15.13%,9204869899,22000000,660000000,42.00,-17.76%,NASDAQ,34.40,3083001,United States,3380,Consumer Discretionary,Internet Retail,2012,,,,3042000000,,2278000000,20.21%,,-2004000000,135000000,-30000000,694000000,2572000000,3750000000,Buy
