IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-12-29,MRM,MEDIROM Healthcare Technologies Inc.,15.00,5.97,-60.20%,29148525,800000,12000000,19.80,-69.85%,NASDAQ,Consumer Discretionary,Personal Services,Japan,434,2000,1417,,,,,49821922,71.41%,,11290458,152.06%,-173569,,1296418,3394342,3168836,-0.35%,0.15%,-2650208,-10916821
2020-12-24,VTAQ,Ventoux CCM Acquisition Corp.,10.00,5.08,-49.20%,,,,,,,,,United States,,2019,,,,,,,,,,,,,,,,,,,
2020-12-23,HCAR,Healthcare Services Acquisition Corporation,10.00,10.11,1.10%,418140000,28800000,288000000,,,NASDAQ,Blank Check / SPAC,Blank Check / SPAC,United States,,,6551,,,,,,,,,,14975884,201.82%,15422206,240293,600000,,,-16925244,-408292
2020-12-23,CFIV,CF Acquisition Corp. IV,10.00,10.58,5.80%,249875266,45000000,450000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,448,,,,,,,,,,6449900,0.24%,7785407,400336066,-400336067,,,-8148790,-6155367
2020-12-23,VII,7GC & Co. Holdings Inc.,10.00,10.96,9.60%,99512832,20000000,200000000,20.00,-45.20%,NASDAQ,Financials,Shell Companies,United States,,2020,28284,,,,,,,,,,-3077562,,-2292337,199133172,-197002172,,,-17290104,-7626337
2020-12-23,VHAQ,Viveon Health Acquisition Corp.,10.00,10.00,,66486600,17500000,175000000,,,OTCMKTS,Financials,Shell Companies,GA,,2020,434,,,,,,,,,,-5292453,,-4195233,150771819,-149400819,,,-18118793,-4157625
2020-12-23,IKT,"Inhibikase Therapeutics, Inc.",10.00,1.90,-81.00%,12305996,1800000,18000000,64.02,-97.03%,NASDAQ,Healthcare,Biotechnology,United States,8,,21354,Strong Buy,,,,260501,111.03%,-100.00%,260501,111.03%,-19028883,,-18851485,11656666,8405003,-7304.73%,,10977922,10772447
2020-12-23,GBS,"GBS, Inc.",17.00,,,,,,,,,Healthcare,Medical Devices,United States,12,2016,,,,,,,,,,,,,,,,,,,
2020-12-21,ACKIT,Ackrell SPAC Partners I Co.,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,IIII,Insu Acquisition Corp. III,10.00,10.08,0.80%,344069696,21800000,218000000,,,NASDAQ,Blank Check / SPAC,Blank Check / SPAC,United States,,2020,167785,,,,,,,,,,7692651,,7922367,332949,710000,,,-12397319,-1485835
2020-12-18,MASS,908 Devices Inc.,20.00,5.56,-72.20%,182979044,6500000,130000000,45.51,-87.78%,NASDAQ,Healthcare,Medical Devices,United States,230,2012,141658,Buy,,,,50229000,7.21%,23.26%,25322000,-2.69%,-36399000,,-34025000,-26400000,-15935000,-72.47%,-0.42%,165491000,151241000
2020-12-18,GFX,Golden Falcon Acquisition Corp.,10.00,10.23,2.30%,131287728,30000000,300000000,,,NYSE,Financials,Shell Companies,United States,,2020,5411,,,,,,,,,,1210381,-88.77%,2225660,306748199,-305862116,,,-15509781,-3303626
2020-12-18,MTAC,MedTech Acquisition Corporation,10.00,11.34,13.40%,83856919,22000000,220000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,183276,,,,,,,,,,2254257,-71.74%,2852229,232952726,-229857403,,,-13854376,-4363348
2020-12-18,DUNE,Dune Acquisition Corporation,10.00,4.05,-59.50%,22252928,15000000,150000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,41809,,,,,,,,,,4508041,63.37%,4586603,161043895,,,,-789655,-15882
2020-12-18,SVOK,Seven Oaks Acquisition Corp.,10.00,9.08,-9.20%,,,,,,,,,United States,,2020,,,,,,,,,,,,,,,,,,,
2020-12-17,SCOA,ScION Tech Growth I,10.00,10.10,1.00%,725937536,50000000,500000000,,,NASDAQ,Financial Services,Shell Companies,United Kingdom,,2020,114079,,,,,,,,,,28709220,,28709220,,,,,-21555741,-385741
2020-12-17,COOL,Corner Growth Acquisition Corp.,10.00,11.34,13.39%,115218318,35000000,350000000,,,NASDAQ,Financials,Shell Companies,United States,6,2020,2523,,,,,,,,,,7410237,-43.17%,7410237,3262655,-393681112,,,-8318807,-1806807
2020-12-17,MDWT,Midwest Holding Inc.,70.00,26.99,-61.44%,101067832,1000000,70000000,,,,Financials,Insurance - Life,United States,91,,,,,,,,,,,,,,,,,,,,
2020-12-17,VIRI,"Virios Therapeutics, Inc.",10.00,0.46,-95.41%,8777751,3000000,30000000,12.15,-96.22%,NASDAQ,Healthcare,Biotechnology,United States,4,,52844,,,,,,,,,,-5296015,,-5296015,,1156443,,,3806894,3806894
2020-12-16,UPST,"Upstart Holdings, Inc.",20.00,22.83,14.15%,1973203749,12015690,240313800,26.00,-12.19%,NASDAQ,Financials,Credit Services,United States,1388,2012,2825872,Sell,,,,513562000,-39.04%,-4.49%,513562000,-39.04%,-240132000,,-215122000,-118455000,214268000,-46.76%,0.02%,635305000,
2020-12-16,CCV,Churchill Capital Corp V,10.00,10.40,3.95%,283537139,45000000,450000000,,,NYSE,Financials,Shell Companies,United States,,,23023,,,,,,,,,,7481217,-81.47%,9562942,357328887,-353382716,,,-28956084,-4725135
2020-12-16,WISH,ContextLogic Inc.,24.00,5.70,-76.25%,139068600,46000000,1104000000,682.50,-99.16%,NASDAQ,Consumer Discretionary,Internet Retail,United States,452,2010,561356,Hold,,,,287000000,-49.74%,-56.91%,59000000,-64.46%,-317000000,,-305000000,74000000,-5000000,-110.45%,1.74%,217000000,214000000
2020-12-16,BCAB,"BioAtla, Inc.",18.00,2.25,-87.50%,108217575,10500000,189000000,30.55,-92.64%,NASDAQ,Healthcare,Biotechnology,United States,65,2007,397127,Strong Buy,,,,,,,,,-123462000,,-122241000,-98000,77000,,,70672000,88062000
2020-12-16,SCPS,Scopus BioPharma Inc.,5.50,0.00,-99.98%,46293,500000,2750000,7.70,-99.99%,OTCMKTS,Healthcare,Biotechnology,NY,13,2017,950,,,,,,,,,,-8695825,,-9341912,-1550448,2216683,,,-9451751,-10506241
2020-12-15,KINZ,KINS Technology Group Inc.,10.00,4.10,-0.60%,77909720,24000000,240000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,82359,,,,,,,,,,22768453,1849.60%,22795182,269608786,347961,,,-2524820,-1902372
2020-12-15,OCG,Oriental Culture Holding LTD,4.00,1.00,-75.12%,4224173,5065000,20260000,31.25,-96.82%,NASDAQ,Consumer Discretionary,Internet Retail,Hong Kong,57,2018,450,,,,,1565879,-96.03%,,1454202,-95.94%,-4524478,,,,,-288.94%,0.86%,46497057,35814823
2020-12-15,WNW,Meiwu Technology Company Limited,5.00,1.23,-79.40%,2962579,5000000,25000000,279.30,-99.63%,NASDAQ,Consumer Discretionary,Internet Retail,China,53,,119556,,,,,30299272,-32.07%,,13282781,-42.85%,-5806359,,,-6761906,-4636130,-19.16%,1.39%,25004624,13909063
2020-12-15,MRAC,Marquee Raine Acquisition Corp.,10.00,10.92,9.20%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
2020-12-15,ATA,Americas Technology Acquisition Corp.,10.00,10.59,5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,BLUW,Blue Water Acquisition Corp.,10.00,9.63,-3.70%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
